city,lon,lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
jinchang,102.1739,38.4953,77.25,53,95,4,CN,1659565434
nador,-2.9287,35.174,80.67,83,0,9.22,MA,1659565296
tambacounda,-13.7586,13.7539,78.85,94,75,2.3,SN,1659565435
saleilua,,,,,,,,
utiroa,,,,,,,,
muncar,114.3333,-8.4333,72.21,92,73,1.14,ID,1659565435
hammerfest,23.6821,70.6634,63.05,55,75,8.05,NO,1659565436
constitucion,-72.4167,-35.3333,50.4,80,65,9.62,CL,1659565436
mwinilunga,24.4293,-11.7358,62.58,39,0,7.36,ZM,1659565436
husavik,-17.3389,66.0449,44.38,97,100,13.87,IS,1659565437
shangrao,117.9686,28.4532,79.25,80,0,2.84,CN,1659565437
nome,-165.4064,64.5011,54.16,87,100,6.91,US,1659565437
saint-pierre,55.4781,-21.3393,66.9,78,40,5.75,RE,1659565437
sambava,50.1667,-14.2667,66.18,87,5,8.99,MG,1659565438
da nang,108.2208,16.0678,76.98,94,20,3.44,VN,1659565260
hasaki,140.8333,35.7333,75.29,87,100,13.29,JP,1659565438
livingston,-3.5226,55.9029,57.13,81,0,9.22,GB,1659565439
mirnyy,113.9611,62.5353,57.24,93,100,7,RU,1659565439
kondinskoye,67.41,59.6481,56.66,72,34,2.28,RU,1659565439
cooma,149.1333,-36.2333,53.2,90,30,11.74,AU,1659565439
lago da pedra,-45.1667,-4.3333,81.1,55,74,3.27,BR,1659565440
kilemary,46.8659,56.7783,66.83,76,97,2.51,RU,1659565268
katsuura,140.3,35.1333,78.82,91,92,16.93,JP,1659565440
palabuhanratu,,,,,,,,
adrar,-10.0711,20.5022,98.2,23,7,12.35,MR,1659565441
qaqortoq,-46.0333,60.7167,46.92,97,100,13.35,GL,1659565441
broken hill,141.4333,-31.95,59.25,92,72,18.32,AU,1659565441
caconda,15.0667,-13.7333,59.25,45,13,3.27,AO,1659565442
harindanga,88.3214,22.0383,82.27,80,100,3.83,IN,1659565442
tual,132.75,-5.6667,79.74,84,61,15.03,ID,1659565442
ust-ilimsk,102.6619,58.0006,49.69,91,70,3.96,RU,1659565443
calama,-68.9333,-22.4667,61.29,17,0,18.41,CL,1659565443
mana,-53.7767,5.6592,78.64,88,85,9.93,GF,1659565443
hervey bay,152.8535,-25.2986,62.02,97,1,3,AU,1659565320
pacifica,-122.4869,37.6138,90.07,81,20,20.71,US,1659565444
hami,93.45,42.8,82.26,21,0,6.11,CN,1659565444
beringovskiy,179.3167,63.05,52,79,100,7.29,RU,1659565445
broome,-75.833,42.2506,90.7,38,0,7,US,1659565445
bontang,117.5,0.1333,75.65,90,54,4.36,ID,1659565445
nantucket,-70.0995,41.2835,79.09,83,0,5.75,US,1659565446
kamenskoye,,,,,,,,
progreso,-89.6667,21.2833,95.11,72,6,16.6,MX,1659565446
ndioum,-14.6471,16.5129,85.89,52,100,14.72,SN,1659565446
launceston,147.1667,-41.45,51.8,94,40,11.5,AU,1659565447
meyungs,,,,,,,,
nemuro,145.575,43.3236,59.56,91,98,9.84,JP,1659565447
parabel,81.4825,58.6978,49.24,78,0,6.67,RU,1659565447
oksfjord,22.3479,70.2396,60.98,72,100,8.72,NO,1659565448
veraval,70.3667,20.9,81.5,82,93,5.55,IN,1659565448
kaseda,130.3167,31.4167,82.09,82,45,2.28,JP,1659565448
mufulira,28.2407,-12.5498,59.79,58,58,4.72,ZM,1659565449
maracaibo,-71.6406,10.6317,85.44,63,100,9.98,VE,1659565449
mareeba,145.4333,-17,68.43,88,88,3.94,AU,1659565449
ulladulla,150.4667,-35.35,64.81,73,95,18.39,AU,1659565450
tevriz,72.4042,57.509,53.53,82,17,3.74,RU,1659565450
bereda,-7.5406,43.2686,67.41,100,99,4.79,ES,1659565450
sinnamary,-52.95,5.3833,79.16,86,83,10.47,GF,1659565451
katakwi,33.9661,1.8911,66.07,87,76,4.03,UG,1659565451
kosino,51.2782,58.4127,60.17,80,100,2.82,RU,1659565451
sorland,12.6934,67.667,55.26,93,94,15.55,NO,1659565452
ulaanbaatar,106.8832,47.9077,57.33,94,75,4.47,MN,1659565200
empalme,-110.8167,27.9667,100.35,63,20,12.66,MX,1659565452
berlevag,29.0864,70.8578,58.8,91,54,8.03,NO,1659565453
port maria,-76.8895,18.3685,85.96,84,93,10.38,JM,1659565453
nuevo casas grandes,-107.9167,30.4167,88.75,37,3,4,MX,1659565453
longyearbyen,15.6401,78.2186,49.84,81,75,11.5,SJ,1659565301
fayaoue,166.5333,-20.65,75.76,84,0,13.02,NC,1659565454
bairiki,172.9752,1.3292,84.2,74,40,13.8,KI,1659565454
hamilton,-84.5333,39.1834,92.25,55,40,13.8,US,1659565455
newport,-2.9984,51.5877,64.02,82,46,7.61,GB,1659565455
cecina,10.524,43.3128,83.34,58,1,3.11,IT,1659565455
lugazi,32.9197,0.3772,64.69,82,73,1.72,UG,1659565456
dubenskiy,,,,,,,,
carahue,-73.1667,-38.7,45.82,91,23,2.17,CL,1659565456
santa maria del oro,-105.3667,25.9333,84.25,31,63,11.32,MX,1659565456
bloemhof,25.607,-27.6469,56.39,69,98,7.85,ZA,1659565457
esperance,121.9,-33.8667,49.84,65,91,30.04,AU,1659565457
memaliaj,19.9803,40.3517,74.32,54,5,2.53,AL,1659565457
pauini,-66.9764,-7.7136,85.19,58,94,3.94,BR,1659565458
akcaabat,39.5715,41.0212,78.67,83,75,0,TR,1659565458
pecos,-103.4932,31.4229,107.69,14,0,0,US,1659565174
slidell,-89.7812,30.2752,86.05,74,0,3.44,US,1659565278
gamba,10,-2.65,69.76,89,3,7.94,GA,1659565459
baykit,96.37,61.67,49.03,94,98,3.65,RU,1659565305
dekoa,,,,,,,,
zhanjiang,110.3427,21.2815,80.64,83,100,4.14,CN,1659565459
ahuimanu,-157.8378,21.4447,85.75,63,20,14.97,US,1659565460
rungata,,,,,,,,
kutum,24.6667,14.2,69.89,79,99,12.3,SD,1659565460
coatzintla,-97.45,20.4833,90.18,58,0,11.5,MX,1659565461
canto do buriti,-42.9444,-8.11,84.83,39,48,9.33,BR,1659565461
dolbeau,,,,,,,,
warqla,,,,,,,,
galesburg,-90.3712,40.9478,87.78,74,0,8.05,US,1659565461
high level,-117.136,58.5169,68.11,56,75,12.66,CA,1659565462
doctor pedro p. pena,,,,,,,,
ye,,,,,,,,
hirara,125.2833,24.8,82.26,94,20,4.61,JP,1659565462
bara,10.7288,10.3744,72.66,88,53,5.35,NG,1659565463
tamandare,-35.1047,-8.7597,75.47,89,99,15.28,BR,1659565463
andenes,16.1194,69.3143,57.18,88,100,0,NO,1659565463
helong,128.9972,42.5397,71.53,95,68,3.22,CN,1659565463
la romana,-68.9728,18.4273,86.36,66,75,9.22,DO,1659565464
fort nelson,-122.7002,58.8053,65.79,59,75,2.3,CA,1659565464
belgrade,20.4651,44.804,75.33,63,0,5.75,RS,1659565326
kisangani,25.2,0.5167,74.97,78,96,1.83,CD,1659565465
henties bay,14.2845,-22.116,54.32,91,68,6.04,NA,1659565465
vila velha,-40.2925,-20.3297,75.15,86,75,4.61,BR,1659565465
cherskiy,161.3,68.75,47.23,80,100,7.54,RU,1659565466
karkaralinsk,,,,,,,,
saraza,117.78,8.7356,78.94,81,100,1.3,PH,1659565466
luanshya,28.4166,-13.1367,60.03,58,26,5.17,ZM,1659565466
manaure,-72.4445,11.7751,86.2,58,100,16.87,CO,1659565467
charters towers,146.2667,-20.1,65.07,78,44,10.71,AU,1659565467
ambanja,48.45,-13.6833,67.41,85,46,3.38,MG,1659565467
pacific grove,-121.9166,36.6177,88.25,78,40,10.36,US,1659565467
pala,14.9046,9.3642,72.55,85,77,3.83,TD,1659565468
si satchanalai,99.7598,17.5169,75.04,98,92,2.86,TH,1659565468
qurayyat,37.3428,31.3318,84.38,48,0,16.11,SA,1659565468
gawler,138.7333,-34.6,56.16,76,11,13.71,AU,1659565469
calvia,2.5062,39.5657,81.09,46,0,3.85,ES,1659565469
kang,22.7876,-23.6752,53.96,22,0,7.02,BW,1659565469
bulgan,103.5347,48.8125,56.5,92,100,0.92,MN,1659565470
samusu,,,,,,,,
kingman,-114.053,35.1894,101.19,23,0,10.36,US,1659565396
olafsvik,-23.7142,64.8945,48.83,68,20,10.49,IS,1659565470
vilhena,-60.1458,-12.7406,86.22,30,0,4.61,BR,1659565470
saint-prosper,-70.4811,46.2117,72.03,50,71,6.29,CA,1659565471
tabriz,46.2919,38.08,76.46,47,20,4.61,IR,1659565436
alexandria,29.9553,31.2156,79.2,67,0,10.04,EG,1659565370
sutysky,28.4173,49.0425,63.37,88,63,8.05,UA,1659565471
banepa,85.5214,27.6298,70.12,94,75,3.44,NP,1659565472
la ronge,-105.2842,55.1001,68.22,45,75,6.91,CA,1659565472
manzhouli,117.4333,49.6,68.36,78,78,7.11,CN,1659565472
petropavlovsk-kamchatskiy,158.6483,53.0452,59.59,72,75,8.95,RU,1659565472
mitsamiouli,43.2844,-11.3847,75.11,72,0,5.23,KM,1659565473
kyzyl-suu,78.0056,42.3414,59.45,58,28,3.56,KG,1659565473
nelson bay,152.15,-32.7167,64.99,81,97,13,AU,1659565473
zaigrayevo,108.2703,51.8336,57.36,93,57,4,RU,1659565474
odweyne,45.064,9.4092,76.41,43,76,16.89,SO,1659565474
maragogi,-35.2225,-9.0122,75.27,88,100,15.5,BR,1659565474
alotau,,,,,,,,
envira,-70.2167,-7.3,81.61,68,90,1.41,BR,1659565475
renfrew,-4.3925,55.872,57.47,85,87,4.61,GB,1659565475
dongsheng,109.9776,39.8161,74.08,64,61,12.12,CN,1659565476
samarai,150.6667,-10.6167,80.64,83,80,15.01,PG,1659565476
nakajo,,,,,,,,
les cayes,-73.75,18.2,82.76,70,100,9.37,HT,1659565476
wulanhaote,,,,,,,,
vigrestad,5.7,58.5667,60.48,90,7,9.44,NO,1659565477
lushunkou,,,,,,,,
tver,35.8931,56.8619,65.08,87,100,5.21,RU,1659565477
kandrian,149.55,-6.2167,79.05,86,100,10.07,PG,1659565478
vanavara,102.2797,60.34,52.43,94,100,3.91,RU,1659565478
halalo,,,,,,,,
mecca,39.8261,21.4267,87.3,54,100,5.64,SA,1659565309
tadine,167.8833,-21.55,75.18,81,1,9.64,NC,1659565478
jackson,-122.8345,42.4165,102.74,24,0,5.99,US,1659565479
jiaozhou,120.0033,36.2839,80.56,95,4,5.1,CN,1659565479
luanda,13.2343,-8.8368,66.33,86,3,11.03,AO,1659565479
ojinaga,-104.4167,29.5667,106.41,22,40,0,MX,1659565480
koslan,48.8989,63.4564,58.59,92,68,4.74,RU,1659565480
pringsewu,104.9744,-5.3582,73.35,97,97,3.96,ID,1659565480
botwood,-55.3482,49.1499,72.9,89,48,2.98,CA,1659565480
zhigansk,123.3711,66.7697,43.99,71,100,20.62,RU,1659565481
olga,135.2892,43.7444,70.95,97,75,1.05,RU,1659565481
bati,40.0167,11.1833,66.87,71,97,6.08,ET,1659565481
eureka,-124.1637,40.8021,89.67,81,43,10,US,1659565250
labuhan,112.2051,-6.8844,75.56,85,92,8.66,ID,1659565482
ikorodu,3.5041,6.6191,76.96,78,87,10.78,NG,1659565482
sabzevar,57.6819,36.2126,81.68,26,0,11.5,IR,1659565482
halifax,-63.5724,44.6453,80.49,79,20,5.75,CA,1659565266
archidona,-4.3887,37.0965,73.9,41,0,4.47,ES,1659565483
guben,14.7145,51.9499,75.31,51,89,4.47,DE,1659565483
san carlos,-68.5827,9.6612,78.08,93,98,0.6,VE,1659565188
arona,-16.681,28.0996,84.9,46,0,18.41,ES,1659565483
severnyy,36.5532,50.677,64.44,94,0,6.71,RU,1659565484
japura,102.35,-0.3167,72.34,99,98,2.51,ID,1659565484
deputatskiy,139.9,69.3,40.66,90,100,4.5,RU,1659565484
sayyan,44.3244,15.1718,64.26,62,85,1.83,YE,1659565485
evensk,159.2333,61.95,52.63,97,100,7.61,RU,1659565485
bilma,12.9164,18.6853,87.91,44,31,5.91,NE,1659565485
lardos,28.0157,36.0942,78.62,72,0,9.4,GR,1659565486
port augusta,137.7667,-32.5,52.05,61,17,10.58,AU,1659565486
soyo,12.3689,-6.1349,68.68,85,0,9.89,AO,1659565486
goedereede,3.9806,51.8175,74.05,80,68,6.33,NL,1659565487
tessalit,1.0114,20.1986,96.03,25,91,7.05,ML,1659565487
igunga,33.8833,-4.2833,69.51,44,47,4.74,TZ,1659565487
fairbanks,-147.7164,64.8378,73.36,56,40,6.91,US,1659565487
sassenberg,8.05,52,74.84,52,17,4.61,DE,1659565488
dvorichna,37.6857,49.8496,65.71,94,100,6.62,UA,1659565488
leningradskiy,178.4167,69.3833,42.87,89,100,3.13,RU,1659565488
alugan,125.4808,12.2188,79.77,84,100,8.59,PH,1659565489
tarudant,,,,,,,,
oranjemund,16.4333,-28.55,53.2,96,10,5.84,NA,1659565463
talnakh,88.3972,69.4865,51.21,60,11,5.35,RU,1659565489
mogadishu,45.3438,2.0371,75.83,82,19,17.36,SO,1659565489
cobija,-68.7692,-11.0267,85.78,50,83,3.58,BO,1659565490
maldonado,-54.9167,-34.6667,52.99,94,100,4.56,UY,1659565226
izumo,132.7667,35.3667,82.35,78,75,12.66,JP,1659565490
two hills,-111.7518,53.7169,68.23,82,100,6.91,CA,1659565490
bata,9.7658,1.8639,75.4,82,43,5.86,GQ,1659565491
